,Username,Number of Comments,Comments,Number of Products Commented,Products Commented,Mean Rating
5890,f*****0,2,"[nan, nan, nan, nan, nan, 'Performance: not yet try\nBest Feature(s): not sure\nValue For Money: yes\nAwaiting for seller to replace the faulty headphone. The other 2 is working well and my kids love it!', 'Great phone surprised me for the price. Very loud sound, with memory card slot E also has an input if you want to put a wire to use it wired (I think it will not be the case But it has this possibility lol) if the comment is Useful please like! 😊']",5,"{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, '59331d97-d641-4a8b-8d1d-4f7296f1978e': 1, '6aa4bce2-a931-4f64-9d1a-83c69fb60d4b': 1, 'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1, 'c6248603-e4db-403f-a7d2-4139e8463d34': 3}",4.714285714285714
5891,f*****1,4,"['omg actly quite comfortable and people cant hear sound from outside unless come rly close. looks pretty too! hdhebehehehhdhedhehshehewvwdvhedghwshehedhhrhehheeh', 'Performance: acceptable\nBest Feature(s): good\nValue For Money: acceptable\nThe Parcel had received but the box is dented (no bubbles wrap) as for the set is easy to setup also a decent sound quality. Seem there is 01 year warranty so might try for it.', 'Best Feature(s): looks nice\nValue For Money: yeah\nPerformance: connects well, no faults\nGreat sound quality', nan, 'Good, but the buttons are fragile. But it holds the load well. For the price, it was worth it.']",5,"{'0f0709c2-b0ab-467e-8334-969ba228ee4b': 1, '3aa481f9-6e8d-40aa-b4a9-8022ae11b332': 1, '43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, 'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1, 'e00d8069-318f-4a12-a0e0-f61b0a7dfdf7': 1}",5.0
5892,f*****2,1,"[nan, 'Very fast delivery, son currently testing the headset. ', nan]",3,"{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1, '5b019c93-94ee-4d1b-9a95-c8612ac429c0': 1, '738907d7-39a7-403e-a8a6-1b0933baf48f': 1}",5.0
5893,f*****3,7,"[nan, nan, 'Performance: good\nValue For Money: yes\nLove it. Fast delivery too. Thanks seller!', 'Packing is good and item came as described. Really happy with the product and delivery was exceptionally quick. Nothing else to highlight as item is selling at a great deal. Would recommend others.', 'replacement for headphones fits perfectly and item was delivered very fast too!', nan, ""Beautiful.. the sound is ok.. it doesn't hurt too much \nCharge is also durable."", 'Performance: good enough\nBest Feature(s): noise cancellation and comfort\nValue For Money: definitely\nVery good product! The ANC is very good and headphone is very comfortable to wear.\nSeen reviews on people using it on flight and agree it is really possible. Sound not the best for audiophile but made up for the easy controls and functions', 'Performance: good enough\nBest Feature(s): noise cancellation and comfort\nValue For Money: definitely\nVery good product! The ANC is very good and headphone is very comfortable to wear.\nSeen reviews on people using it on flight and agree it is really possible. Sound not the best for audiophile but made up for the easy controls and functions', 'Value For Money: okay price\nBest Feature(s): reliable earphone. Have been using for office calls, the old one spoilt after years of using.\nPerformance: good. Clear voices', nan]",8,"{'0063c41c-e4de-4d05-a40e-7f3c31e67dc5': 1, '087be8f9-1394-40ae-be7a-ed4c4e917832': 1, '12c56041-6472-4142-b0fc-d4a5c0d82309': 1, '3aa481f9-6e8d-40aa-b4a9-8022ae11b332': 1, '51f70b33-555b-4d40-ad73-a4f19446fc73': 2, '55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 2, '738907d7-39a7-403e-a8a6-1b0933baf48f': 2, 'ff9d5533-0a5c-4d93-91c2-c8ebfa50c30f': 1}",5.0
5894,f*****4,1,"['Box is dented, so far item inside is ok\nGood sounds\nEasy to connect']",1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
5895,f*****5,3,"['Thank u seller for the item..received in good condition...', ""Performance: paduu paduu\nQuality: plastic\nI want to say 1:1 copy, I don't even have a button because there is a button, but the sound is delicious..comfortable, only the beginning is tight, I want to wear it.. full jaw HAHAHA"", 'Performance: good\nQuality: good\nDecent delivery, even though the color stock is out of stock, the seller informs me to exchange the available colors. Good service']",2,"{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1, 'e00d8069-318f-4a12-a0e0-f61b0a7dfdf7': 2}",5.0
5896,f*****6,2,"['Delivery was fast and received in good condition. Thank you!', 'Item received in BAD CONDITION! Entire box was so badly dented. Please see my video as well. I hate that sticker thing on my headphone which left an adhesive stain on it. Plastic material also felt ""cheap"" to the touch. TOTALLY UNIMPRESSIVE! Sound projected is quite hollow and i had to use an app to enhance the sound quality', nan]",3,"{'0f0709c2-b0ab-467e-8334-969ba228ee4b': 1, '72370986-e271-46ab-9368-4ccb6f31a38d': 1, '90ca6f82-08ca-4d7d-bec3-b34236f1ab25': 1}",3.6666666666666665
5897,f*****7,3,"['Performance: amazing\nBest Feature(s): superb bass\nValue For Money: 👍👍👍', nan, 'Prompt delivery. Authentic product. Will consider again.', ""Performance: large\nQuality: beautiful\nBeautiful and big. Haven't tested yet but hope it's okay. thanks seller, fast delivery, crazy lurve"", nan]",5,"{'10b5c89d-c320-4743-b6db-7962216594f9': 1, 'c6248603-e4db-403f-a7d2-4139e8463d34': 1, 'e00d8069-318f-4a12-a0e0-f61b0a7dfdf7': 1, 'ef5a4175-8271-46c7-9c82-be26682bc42d': 1, 'f9b60d03-8caf-4502-8e9c-dd299758ae3a': 1}",5.0
5898,f*****8,6,"['Performance: good\nBest Feature(s): good product\nValue For Money: yes\ngreat product totally recommend! fast delivery', 'Value For Money: yes\nPerformance: good\nBest Feature(s): auto connect very fast\nThe negative part is there is no speaker when u bluetooth.', 'Got the earpiece on offer. Not bad quality but not my type of earpiece', 'Good', 'Good', 'Received the headphone had many scatches on it! After full charged the headphone i can only listen 4hr+ and no battery Not 9hrs!']",4,"{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, '55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 3, '6aa4bce2-a931-4f64-9d1a-83c69fb60d4b': 1, 'f9b60d03-8caf-4502-8e9c-dd299758ae3a': 1}",4.166666666666667
5899,f*****9,4,"['Performance: good enough for what you paid.\nBest Feature(s): the colour and design! absolutely love the pastel pink and doesnt look too chunky on an asian girls head.\nValue For Money: yes', nan, 'Order was well packed and received. Delivery was within a week. Thank you! :)', 'Thank you seller🥰..It’s verry nice..love it🥰.. recommended and can buy again for my brother..thanks😊..', 'I was already given 5 stars because the delivery was fast and the packaging was safe.. Eh, when I tried the headset, 1 died']",5,"{'0f0709c2-b0ab-467e-8334-969ba228ee4b': 1, '3aa481f9-6e8d-40aa-b4a9-8022ae11b332': 1, '43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, 'ada3b277-7679-4b52-8491-f4101329d86e': 1, 'f9b60d03-8caf-4502-8e9c-dd299758ae3a': 1}",4.6
5900,f*****_,1,"[nan, 'Took a while to deliver to circuit breaker but overall the product is nice. The quality is very good & exceeded my expectations']",2,"{'738907d7-39a7-403e-a8a6-1b0933baf48f': 1, 'ef5a4175-8271-46c7-9c82-be26682bc42d': 1}",5.0
5901,f*****a,14,"['Strong Sound.\nThe best headphone can be folded.', 'Performance: okay\nBest Feature(s): cushion\nValue For Money: yes\nreally good for price. tbvh i just bought it for the aesthetics but it does work well :))', 'Performance: good\nBest Feature(s): good\nValue For Money: good\nItems delivered very quick. Sound ok, everything ok', 'Performance: good\nBest Feature(s): the bass\nValue For Money: yes\nReceived the item the next day of purchase. Bubblewrap but the box still dented . Thank god the item is not affected . My niece loves it .', nan, nan, 'noise cancellation works well, comfortable on the head', 'Item well received. Delivery was okay. Bought during the sale. Thanks.', 'Item received as described. Thank you seller. Love the colour changing', 'Seller was super nice to expedite delivery to meet my timeline as I was travelling and needed this to come on time. Received this in just 3days after placing order! Thank you so much seller! Headphone looks pretty tho I’m not too used to the pressure on top of my head. Hope I will get use to this. Love the battery life! Will use it well in my 13 hours flight to Europe! :D', ""Performance:  best teruk\nThe bass he sounds all good. strong enough to get rid of it, father, best, auto goes to another planet. other people call didn't even hear 🤣🤣 Unbothered QUEEN 🤭 Hahahahahaha all the gossip is detached from using this. overall it's worth it and done with other people hehehehe 👍🏻 Buy it you alls 👍🏻👍🏻"", ""It's best if you use it, it's auto, it doesn't sound, what's the best sound"", ""Quality: gooodd\nIt's really good, the sound is not bad, I really like it!! It's really ok and holds the battery too so don't worry just buy it hahaha"", nan, nan, 'noise cancellation works well, comfortable on the head', 'Seller was super nice to expedite delivery to meet my timeline as I was travelling and needed this to come on time. Received this in just 3days after placing order! Thank you so much seller! Headphone looks pretty tho I’m not too used to the pressure on top of my head. Hope I will get use to this. Love the battery life! Will use it well in my 13 hours flight to Europe! :D', nan, 'Perfect!!! The sound is quite loud, everything came working perfectly.']",17,"{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1, '0a306926-3ebc-4c60-b1e5-abd335495cc0': 1, '12c56041-6472-4142-b0fc-d4a5c0d82309': 1, '43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, '5b019c93-94ee-4d1b-9a95-c8612ac429c0': 3, '6aa4bce2-a931-4f64-9d1a-83c69fb60d4b': 1, '6b40a572-7c11-45bb-937c-d3460fc70c36': 1, '738907d7-39a7-403e-a8a6-1b0933baf48f': 1, 'bbfc5329-d536-4274-a1b4-3f2e28a82b63': 1, 'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1, 'c27b8144-4472-420e-a5fe-0372caab2724': 1, 'dbd07dd2-ec11-4d23-b369-22fb75522393': 1, 'e00d8069-318f-4a12-a0e0-f61b0a7dfdf7': 1, 'e7174fb9-9ec5-4b85-ad45-cd483b1f116a': 1, 'ef5a4175-8271-46c7-9c82-be26682bc42d': 1, 'fea283b9-0ae0-4fff-9345-f4d9f9c76b07': 1, 'ff9d5533-0a5c-4d93-91c2-c8ebfa50c30f': 1}",4.947368421052632
5902,f*****c,1,['Value For Money: 10/10\nPerformance: 10/10\nBest Feature(s): easy to use'],1,{'3aa481f9-6e8d-40aa-b4a9-8022ae11b332': 1},5.0
5903,f*****d,3,"[""Quality: good\nPerformance: good\nThe Sound is delicious and good, it's easy to use, even after charging it takes a long time to use it. Well packaged and fast delivery. 👍🏼"", 'Performance: good enough sound quality\nBest Feature(s): light, foldable\nValue For Money: acceptable value', 'Quality:  okay laa okay laa okay\nPerformance:  the best because he can stand strong too laa\nAnd he\'s light, so you\'re worried about what headache to takde, but when you jump, maybe there will be a sound like ""klek2"" skit ah lantak ah tp cm like that ahh but think OKAY LAAAA you get it Good sound quality at a low price if you want it better to buy airpods max then stupid haa that\'s it']",3,"{'5b019c93-94ee-4d1b-9a95-c8612ac429c0': 1, '738907d7-39a7-403e-a8a6-1b0933baf48f': 1, 'f81dd840-40d1-4e5b-842a-da76d9f79c17': 1}",4.333333333333333
5904,f*****e,6,"[nan, nan, 'Performance: 👍\nValue For Money: 👍\nBest Feature(s): 👍\nItem received in good condition thanks you seller', 'Headset look small, and is well cover by a plastic cover inside. Small and compact, hope it last!', 'Performance: 10/10\nBest Feature(s): the bass of the headphone wthhhhh!!!\nValue For Money: yes definitely\nim buying as a gift but im gonna purchase one for myself cause its so good!!!!!', nan, nan, nan, nan, 'Items were well packed. Tried and they worked. Value for money.', 'item well received thanks :)', nan, 'items came in good condition and delivery was fast and smooth.']",9,"{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, '55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 2, '6aa4bce2-a931-4f64-9d1a-83c69fb60d4b': 1, '6b40a572-7c11-45bb-937c-d3460fc70c36': 2, '72370986-e271-46ab-9368-4ccb6f31a38d': 1, '7541d57b-e17b-42ac-bb8d-c6077c146b4d': 1, 'd2ca1ff5-2388-4e12-9d99-83d3e21ddc54': 1, 'ef5a4175-8271-46c7-9c82-be26682bc42d': 3, 'fea283b9-0ae0-4fff-9345-f4d9f9c76b07': 1}",4.923076923076923
5905,f*****f,0,[nan],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
5906,f*****g,3,"['Kiddo got this Lenovo wireless headset and says it’s a perfect fit to cover her ears and provide good listening experience', 'Speedy delivery. Item received in good condition.', 'Performance: gd\nBest Feature(s): gd\nValue For Money: gd\nYet to try the item but like the design. Hope the sound effect is good. \nBut very disappointed with their free gift as it look dirty and with  scratches. Like old stock digged out from store room', nan]",4,"{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, '629dd687-f02e-4db8-8b54-3250c1f685f2': 1, '6b40a572-7c11-45bb-937c-d3460fc70c36': 1, 'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1}",5.0
5907,f*****h,5,"[nan, nan, 'Solid purchase of the year', 'For my kid.. looks good', 'Thank you seller,item recieved in good condition.fast delivery.', 'Performance: 10/10\nordered it during the 2.2 sale. Very fast delivery. quality wise ofcourse its perfect.', 'Cute headphones for my son’s usage. Thanks for the fast delivery. Appreciate it.']",6,"{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, '55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 1, '6aa4bce2-a931-4f64-9d1a-83c69fb60d4b': 1, '738907d7-39a7-403e-a8a6-1b0933baf48f': 2, 'ee642e88-21fb-4916-8024-044cbfee7eef': 1, 'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1}",5.0
5908,f*****i,5,"[nan, 'Decent sound with bass. It’s lightweight.  If u want serious listening, this is not for you. With this price vs the sound, you are getting a value for money headphone in my opinion', 'Performance: pretty decent quality\nValue For Money: definitely', ""Performance: good product but don't believe the title and description\nBest Feature(s): not sure. probably the charger box\nValue For Money: yes if it's like $7\nmusic time is definitely not 10h, maybe like 5h around there. Just like any Bluetooth earbuds, there is delay. While the description and title is a lie, for around $8 including delivery, it's value for money. I like the lights of the charger tho."", nan, nan, 'Performance: Excellent\nValue For Money: Yes\nWaited for it to be restocked. Fast delivery as usual.', 'Fast delivery 👍🏻']",6,"{'0063c41c-e4de-4d05-a40e-7f3c31e67dc5': 1, '40bd8f74-3912-4671-83dc-b0596ec2246f': 1, '43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 2, '55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 2, '686a7024-e0ea-459f-81a5-e06b947b3c88': 1, 'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1}",4.75
5909,f*****j,1,"['Best Feature(s): Colour is so pretty!!!!\nValue For Money: Value for money!\nFast delivery! Heard many good reviews and hope it’s good! Love love love the colour!', nan]",2,"{'3aa481f9-6e8d-40aa-b4a9-8022ae11b332': 1, 'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1}",5.0
5910,f*****k,1,"[""Performance: don't know yet\nValue For Money: don't know yet\nBest Feature(s): don't know yet\nJust received the item, bought for my daughter.""]",1,{'721400c6-5f27-40ef-9340-2636c26ed97c': 1},5.0
5911,f*****l,1,"['Best Feature(s): yes\nValue For Money: yes\nPerformance: yes\nPlease buy', nan]",2,"{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, '5b019c93-94ee-4d1b-9a95-c8612ac429c0': 1}",5.0
5912,f*****m,5,"[nan, nan, 'Fast shipping by seller.. nice headphones.. can be use.. thanks.. recommended...', 'Great product! Highly recommended 👍\nNox was a bit Dentd but contents were ok. \nFast delivery as well. ', 'For a 25 dollar bluetooth headphone, its pretty decent. \n\n1.Connecting is easy and so far, it is pretty stable and does not randomly disconnect like almost every cheap Chinese knock off.\n2. Frame and structure is pretty good. Sound quality is decent. Mic is boasted af. Its a bit small for my head', 'Value For Money: yes\nPerformance: good\nBox arrived with no dents and delivery was quite fast. Decent sound quality. Am satisfied with my purchase', 'Items well packed and received in good order.  Thanks for the prompt delivery.']",7,"{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1, '25446ffc-7c07-41d6-a94e-bf0a071ac9c5': 1, '3ac85522-669a-42b8-a279-b31ec4a84c29': 1, '6b40a572-7c11-45bb-937c-d3460fc70c36': 1, '72370986-e271-46ab-9368-4ccb6f31a38d': 1, '738907d7-39a7-403e-a8a6-1b0933baf48f': 1, 'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1}",5.0
5913,f*****n,8,"[nan, nan, 'very satisfied with my purchase—colour is very pretty and bass is strong too, cushion is also comfortable on the ears. in addition, delivery was done in 3 days! very happy', 'Item was dispatched promptly. Received this a day after ordering it, which was very quick. Headphones worked well enough. The only downside is the packaging came slightly dented and torn but that’s not a big deal for me since I didn’t buy it as a gift.', nan, nan, 'Very good product...lights up at the side as shown in picture....', 'Ordered on 10/06. Received on 12/06. Fast delivery.', 'Ordered on 15/06. Received on 24/06. Item tested and proven good. Sound quality is good.', 'fast delivery. item received in great condition. well packaged with bubble wrap. ', nan, nan, 'Fast delivery.  Works well. Not much bass, not an issue. Fits well. Love the colour. Box came bit dented. Thanks seller', nan, 'Superbly fast delivery. Ordered 11am, arrived 6pm the same day. Bought to use for calls on laptop']",11,"{'087be8f9-1394-40ae-be7a-ed4c4e917832': 2, '3aa481f9-6e8d-40aa-b4a9-8022ae11b332': 1, '43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, '55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 1, '6c475598-c32f-4bac-9831-383e5eb8e323': 1, '738907d7-39a7-403e-a8a6-1b0933baf48f': 2, '90ca6f82-08ca-4d7d-bec3-b34236f1ab25': 1, 'ada3b277-7679-4b52-8491-f4101329d86e': 1, 'bbfc5329-d536-4274-a1b4-3f2e28a82b63': 2, 'e00d8069-318f-4a12-a0e0-f61b0a7dfdf7': 1, 'f81dd840-40d1-4e5b-842a-da76d9f79c17': 2}",4.933333333333334
5914,f*****o,4,"['Performance: Amazing\nBest Feature(s): Great sound quality and battery life\nValue For Money: $30 feels like a discount', 'good headphones for the price. sound quality so so and if your ears are big they become on ear and not over ear. quality is what u expect for under $30 headphones but it’s solid build.', 'Performance: good\nValue For Money: yes', nan, 'Value For Money: yes\nPerformance: good\nBest Feature(s): color\nQuite good for this price.. working well.. the music sounds good to the ear.. used it for almost a week now and its good.. thank you..']",4,"{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 2, '6b40a572-7c11-45bb-937c-d3460fc70c36': 1, 'b17e829b-3318-49c4-8a94-edc482f7733c': 1, 'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1}",5.0
5915,f*****p,1,"[""Performance: good\nBest Feature(s): color\nValue For Money: yes\nSuper fast delivery!! I'm in love with the color! I'm thinking of buying the brown one next. I have not really tried it yet, cos it's for my work laptop. The 4 buttons at the side are easier to work with. It's cool that it's foldable.""]",1,{'721400c6-5f27-40ef-9340-2636c26ed97c': 1},5.0
5916,f*****r,2,"['Performance: product is authentic and reliable\nBought during a sale and the value for money is worth it compared to AirPods', 'Bought before and is good so buy again. Good for laptops. Will buy again.']",1,{'55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 2},5.0
5917,f*****s,2,"['delivery within 2 days, the sound quality is good, colour is as described in picture and comfortable to put on for long period', nan, 'delivery took about a week, have yet to try it but hopefully it’s good although it’s quite cheap', nan]",3,"{'10b5c89d-c320-4743-b6db-7962216594f9': 2, '43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, '5b019c93-94ee-4d1b-9a95-c8612ac429c0': 1}",5.0
5918,f*****t,2,"['Delivery was pretty fast. Seller was very nice to update When the item is delivered . Thanks for the great service! Headphone Not yet tested .', 'Faulty', nan]",2,"{'55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 1, '936348cf-936f-450a-ada8-a0392910fd2f': 2}",4.0
5919,f*****u,3,"[nan, 'Performance: Slightly thicker than original cushions, the headphones become a bit tighter when worn.\nValue For Money: Good.\nThere are tutorials on youtube for how to change. Photos show comparison with original earpad. The mesh in the middle seems a bit more tightly woven as well. Plastic pick given to help you dig out the old cushion.', ""I could say the headphones is alright but one side was louder than the other one so it's a bit uncomfortable."", 'Performance: good\nBest Feature(s): good\nValue For Money: good\nGood so far. This is my 3rd or 4th buy.']",4,"{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1, '51f70b33-555b-4d40-ad73-a4f19446fc73': 1, 'c6248603-e4db-403f-a7d2-4139e8463d34': 1, 'fea283b9-0ae0-4fff-9345-f4d9f9c76b07': 1}",4.75
5920,f*****v,2,"[nan, 'Bought the black one during sale... But realize that during the recent It fair it is giving a free hard cover case... Should have bought direct  creative.. Sound OK for price and that syfi app a bit of a hit and miss though', 'Bought the black one during sale... But realize that during the recent It fair it is giving a free hard cover case... Should have bought direct  creative.. Sound OK for price and that syfi app a bit of a hit and miss though', nan, nan]",4,"{'12c56041-6472-4142-b0fc-d4a5c0d82309': 1, '17a3e9e0-9f51-4915-9d0e-3b27798c6859': 1, '55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 2, 'ff9d5533-0a5c-4d93-91c2-c8ebfa50c30f': 1}",4.6
5921,f*****w,3,"['Performance: 8/10\nQuality: worth the money\nsound is so great ada bass tapi tengok lagu jugak la , it comes with charger cable and cable cucuk kat phone. one thing i love it the color is so soo pretty 😭🎧\U0001f90d im ceyinggg i love it lepastu besar gila headphone ni', 'Bought as a gift so yet to try. Super quick delivery and box arrived perfect and undamaged, thanks!', 'The product got arrived quite quickly. The product was packaged really well also.']",3,"{'40bd8f74-3912-4671-83dc-b0596ec2246f': 1, 'ef5a4175-8271-46c7-9c82-be26682bc42d': 1, 'f9b60d03-8caf-4502-8e9c-dd299758ae3a': 1}",5.0
5922,f*****x,5,"['Performance: sound quality is ok appearance is nice too\nValue For Money: very value for money got it on discount', ""Performance: loud enough even though the sound still low.\nheadphone was so comfortable to wear and won't hurt my ear eventhough i wear it for many hours. Both sound can be hear very well."", nan, 'Arrive earlier than expected. Good quality, fast delivery and product received safely!', 'Performance: good\nBest Feature(s): good\nValue For Money: good\ngood delivery. correct item received. not bad for the price paid. can use for wire and bluetooth. decent enough for daily use', 'Performance: good\nBest Feature(s): good\nValue For Money: good\ngood delivery. correct item received. not bad for the price paid. can use for wire and bluetooth. decent enough for daily use']",6,"{'12c56041-6472-4142-b0fc-d4a5c0d82309': 1, '40bd8f74-3912-4671-83dc-b0596ec2246f': 1, '6b40a572-7c11-45bb-937c-d3460fc70c36': 1, 'c27b8144-4472-420e-a5fe-0372caab2724': 1, 'fea283b9-0ae0-4fff-9345-f4d9f9c76b07': 1, 'ff9d5533-0a5c-4d93-91c2-c8ebfa50c30f': 1}",5.0
5923,f*****y,5,"[nan, nan, 'Performance: Good\nBest Feature(s): Good\nValue For Money: Yes\nDaughter uses this item and seems to be no issue upon first use after receiving. Good sound system Hope it lasts long.', 'sound quality is quite good! good for songs and comfy on the ears too', 'tested and working as expected, bought a new one as my old one has depreciated.', 'item was ordered and delivered fast and am happy with purchase', 'good and working as expected.']",5,"{'25446ffc-7c07-41d6-a94e-bf0a071ac9c5': 1, '377eda3b-17e8-48d7-aac6-df3803e7e928': 1, '55c8d8ca-0f15-43c7-8cd6-9835ebe8e049': 3, '59331d97-d641-4a8b-8d1d-4f7296f1978e': 1, 'ef5a4175-8271-46c7-9c82-be26682bc42d': 1}",5.0
5924,f*****z,5,"['Performance: Very Good\nValue For Money: Yes\nBest Feature(s): Good\nReceived in working condition without any damage thank you seller.', 'Value For Money: okok\nPerformance: can be better\nHappy with my purchase. It came on time too!', nan, 'Value For Money: okok\nPerformance: can be better\nHappy with my purchase. It came on time too!', 'Value For Money: okok\nPerformance: can be better\nHappy with my purchase. It came on time too!', nan, 'The headphones are amazing! The yellow is a cute yellow, not egg yolk, like the color of pompompurin. the sound is good. if I needed more phones, I would buy from the store again.']",7,"{'12c56041-6472-4142-b0fc-d4a5c0d82309': 1, '728a87e4-dff7-4605-9300-9080f42b1cf1': 1, '762a9ac6-9fbd-4021-a337-448f8a0e1c95': 1, 'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1, 'ee642e88-21fb-4916-8024-044cbfee7eef': 1, 'fe4d19d5-24b8-4148-86bf-f9729f39ee27': 1, 'ff9d5533-0a5c-4d93-91c2-c8ebfa50c30f': 1}",5.0
5925,f.a.bermassegunla,0,[nan],1,{'3922f373-785a-4593-8f46-e8f77ca1c8c4': 1},5.0
5926,f.d.s.dyyy,0,"[nan, nan]",1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 2},4.5
5927,f011csawvc,1,['Perfect beautiful battery lasts a long time'],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
5928,f0chqm5x90,0,[nan],1,{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1},5.0
5929,f0przjh5x1,0,[nan],1,{'59331d97-d641-4a8b-8d1d-4f7296f1978e': 1},5.0
5930,f16moiyiaw,0,[nan],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
5931,f272jf8syp,0,[nan],1,{'3922f373-785a-4593-8f46-e8f77ca1c8c4': 1},4.0
5932,f2heuvtii4,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},4.0
5933,f3iyiqmhzg,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
5934,f4qb9yte86,0,[nan],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
5935,f4t4my,1,"['Performance: Normal\nBest Feature(s): -\nValue For Money: acceptable', nan]",2,"{'10b5c89d-c320-4743-b6db-7962216594f9': 1, '43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1}",4.0
5936,f4w49glo5g,0,[nan],1,{'fea283b9-0ae0-4fff-9345-f4d9f9c76b07': 1},5.0
5937,f5tzthdf3b,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
5938,f7ijd6pt__,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
5939,f7o6g313x6,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
5940,f9df5ut1t_,0,[nan],1,{'6c475598-c32f-4bac-9831-383e5eb8e323': 1},2.0
5941,f9ibwonlr8,0,[nan],1,{'6df984cf-64a4-47ca-ba65-4da909800516': 1},5.0
5942,f9tafeh4gi,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
5943,f_2g5jm23q,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
5944,f_pftudnqx,0,[nan],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
5945,fa_biola7,0,"[nan, nan]",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 2},5.0
5946,faatgigi08,0,[nan],1,{'d2ca1ff5-2388-4e12-9d99-83d3e21ddc54': 1},5.0
5947,faatihah_fuad,0,[nan],1,{'5b019c93-94ee-4d1b-9a95-c8612ac429c0': 1},4.0
5948,fab17i,1,['Fast delivery and good product quality.'],1,{'7245f812-e507-4b1c-8e73-78c41afc3744': 1},5.0
5949,fabi.andrade,1,"[""The phone does not turn on! Only when it's charging, take it out of the charger, it turns off and doesn't turn on anymore! I lost my money, didn't ask for a refund because it's too bad to return it! Plus it took 1 month to arrive!""]",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},1.0
5950,fabi1903,0,[nan],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
5951,fabian_sepulveda91,0,"[nan, nan]",1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 2},5.0
5952,fabianabarbosa665,1,"[""It's very good I can say for you I will buy but one for my brother. 💜💜💜💜""]",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},4.0
5953,fabianaguga123,0,[nan],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
5954,fabianapalma312,1,['Great quality and battery life.. I loved it.'],1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
